,turnover
2003-01-31,1.0
2003-04-30,0.19072710790546743
2003-07-31,0.14928631398787315
2003-10-31,0.28124700451363877
2004-01-31,0.14907862581107706
2004-04-30,0.15220980091281006
2004-07-31,0.16485014153930547
2004-10-31,0.1497412170475573
2005-01-31,0.1295530978247166
2005-04-30,0.1495211201148914
2005-07-31,0.15066545636731718
2005-10-31,0.1467623976365425
2006-01-31,0.15163615343877335
2006-04-30,0.15775039646234307
2006-07-31,0.15003057896743047
2006-10-31,0.14617799776976795
2007-01-31,0.1423514892961554
2007-04-30,0.14318268893259758
2007-07-31,0.12451303945650244
2007-10-31,0.16544224382207381
2008-01-31,0.1669737794206977
2008-04-30,0.16915190155502663
2008-07-31,0.2089885015310077
2008-10-31,0.1794409239002307
2009-01-31,0.15839870796384972
2009-04-30,0.17432652589643216
2009-07-31,0.1777268334699838
2009-10-31,0.08656689480756352
2010-01-31,0.08935107311989703
2010-04-30,0.06472708931947908
2010-07-31,0.09292554145879468
2010-10-31,0.09127771703429294
2011-01-31,0.14910464692116607
2011-04-30,0.1150719522138183
2011-07-31,0.13391560050994147
2011-10-31,0.14370538387790488
2012-01-31,0.09991096911634528
2012-04-30,0.07160301774728475
2012-07-31,0.222086435471569
2012-10-31,0.13465248979691058
2013-01-31,0.2372481358427782
2013-04-30,0.1339924356817694
2013-07-31,0.15445875266073678
2013-10-31,0.19710234786213177
2014-01-31,0.14999999999999986
2014-04-30,0.12340190137569608
2014-07-31,0.11534500975950533
2014-10-31,0.13117049018677013
2015-01-31,0.20672834860163214
2015-04-30,0.18009720707297658
2015-07-31,0.1266699382512576
2015-10-31,0.1455334976234445
2016-01-31,0.1317256212792043
2016-04-30,0.15062782807562047
2016-07-31,0.15183414876155224
2016-10-31,0.15
2017-01-31,0.19865072635087314
2017-04-30,0.15000000000000005
2017-07-31,0.14999999999999983
2017-10-31,0.1400752102557918
2018-01-31,0.1956588389041074
2018-04-30,0.14999999999999997
2018-07-31,0.16883121837548443
2018-10-31,0.15000000000000002
2019-01-31,0.09732452195861938
2019-04-30,0.13033690501138284
2019-07-31,0.13210361922839012
2019-10-31,0.15607474691078582
2020-01-31,0.18274216411269203
2020-04-30,0.14999999999999977
2020-07-31,0.1482233244942443
2020-10-31,0.19695945758873384
2021-01-31,0.13349657139240623
2021-04-30,0.1357102811865353
2021-07-31,0.12913522611466596
2021-10-31,0.14501504191426914
2022-01-31,0.19420916802473012
2022-04-30,0.19942323610064444
2022-07-31,0.15030788367788822
