,Annual Return,Cumulative Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Tracking Error,Alpha,Beta
Benchmark,0.07411899831830904,3.445399049360537,0.16071113947182256,0.4611939070427928,-0.5324868001777565,0.0,0.0,1.0
ML-BL Gross,0.08498263289913388,4.484022818988317,0.11327081201891806,0.7502606486562523,-0.422248433022845,0.07262345839242668,0.033422084236109456,0.646400030437084
ML-BL Net,0.06853746626903656,2.9874983133238535,0.11326310084864977,0.605117339676416,-0.43856290232173123,0.07263524137013859,0.01814968481403027,0.6463330668695716
