,Benchmark,ML-BL Gross,ML-BL Net
2003-02-03,0.011014086,0.007895863882859455,0.005895863882859455
2003-02-04,-0.023987502,-0.012210277690765658,-0.012249763910219369
2003-02-05,0.005690801,-0.003874004753305793,-0.0039134909727595035
2003-02-06,-0.026668797,-0.014746135559264628,-0.014785621778718339
2003-02-07,-0.007917946,-0.013439483504233962,-0.013478969723687673
2003-02-10,-0.014280262,0.018088633900575912,0.01797017056466843
2003-02-11,0.022087067,0.009767223428460259,0.009727737209006548
2003-02-12,-0.022551803,-0.01905250736812658,-0.01909199358758029
2003-02-13,0.000812858,-0.00538639451058931,-0.00542588073004302
2003-02-14,0.024688058,0.009119769758546559,0.009080283539092848
2003-02-17,0.022370863,0.00812023380217397,0.008001770466266489
2003-02-18,-0.010396017,0.004185245081428368,0.004145758861974658
2003-02-19,-0.024233429,-0.010891271646894185,-0.010930757866347895
2003-02-20,0.001016312,-0.0023380201032768833,-0.0023775063227305937
2003-02-21,0.00302215,-0.0012215060012745749,-0.0012609922207282853
2003-02-24,-0.010830763,-0.01207140490539993,-0.012189868241307411
2003-02-25,-0.019879387,-0.016757397559750697,-0.016796883779204408
2003-02-26,-0.009748034,-0.010983154661496686,-0.011022640880950396
2003-02-27,0.005573928,-0.01473675819933129,-0.014776244418785
2003-02-28,0.01602796,0.02230804400199582,0.02226855778254211
2003-03-03,0.008971109,0.00871911938354697,0.008600656047639488
2003-03-04,-0.031822009,-0.0272663846936132,-0.02730587091306691
2003-03-05,-0.019036217,-0.014892364138300973,-0.014931850357754684
2003-03-06,-0.001557906,-0.0030968986165295087,-0.003136384835983219
2003-03-07,-0.014219202,-0.008057031338543963,-0.008096517557997673
2003-03-10,-0.036000584,-0.024990520409577832,-0.025108983745485314
2003-03-11,-0.00388924,-0.009171540380009335,-0.009211026599463046
2003-03-12,-0.011219525,-0.001868328486158255,-0.0019078147056119654
2003-03-13,0.029392672,0.01598542213428833,0.01594593591483462
2003-03-14,0.054431339,0.02571627127064713,0.025676785051193418
2003-03-17,0.026534454,0.015298892236681016,0.015180428900773535
2003-03-18,0.008932204,0.013810985304728352,0.013771499085274641
2003-03-19,0.022674389,0.027382446703006158,0.027342960483552448
2003-03-20,0.00570663,0.007535226631346648,0.007495740411892937
